period,dbin,m,se,n_dc
Operational (rel ≥ 0),0,1.3808605961231561,0.1998809659795166,145
Operational (rel ≥ 0),100,1.152120543868497,0.15246223264429393,145
Operational (rel ≥ 0),200,0.9105762215424067,0.12886977347777012,145
Operational (rel ≥ 0),300,0.7454328766254092,0.11490982313355971,145
Operational (rel ≥ 0),400,0.6411149406329161,0.10283382249351102,145
Operational (rel ≥ 0),500,0.500062767677723,0.0953088851706022,145
Operational (rel ≥ 0),600,0.3671349773912229,0.08383749162270003,145
Operational (rel ≥ 0),700,0.300072788276376,0.07304842892655221,145
Operational (rel ≥ 0),800,0.27064839676971525,0.06673827052791279,145
Operational (rel ≥ 0),900,0.21986784896852307,0.05948943826193663,145
Operational (rel ≥ 0),1000,0.1453105071159446,0.042964682982665044,145
Operational (rel ≥ 0),1100,0.057403083028290156,0.023241816816654905,145
Operational (rel ≥ 0),1200,-0.005834945035300959,0.013354768034467434,145
Operational (rel ≥ 0),1300,-0.05825724649913345,0.020596237049716054,145
Operational (rel ≥ 0),1400,-0.09828157582343926,0.031365462753776115,145
Pre-construction (rel ≤ −4),0,0.3816548158805762,0.3693759236452399,51
Pre-construction (rel ≤ −4),100,0.3983044715811182,0.3085466540871671,51
Pre-construction (rel ≤ −4),200,0.3321285186284287,0.23788407713588092,51
Pre-construction (rel ≤ −4),300,0.2424659999419222,0.1897701626057536,51
Pre-construction (rel ≤ −4),400,0.22494536281002148,0.1793413167865085,51
Pre-construction (rel ≤ −4),500,0.2485040630460961,0.1712513389329041,51
Pre-construction (rel ≤ −4),600,0.22552791771145345,0.151802230022795,51
Pre-construction (rel ≤ −4),700,0.21138493466906433,0.1310894999238235,51
Pre-construction (rel ≤ −4),800,0.19184372524105225,0.11000957328571719,51
Pre-construction (rel ≤ −4),900,0.1972731468148551,0.08986842387512699,51
Pre-construction (rel ≤ −4),1000,0.1576981510137502,0.06329153493351138,51
Pre-construction (rel ≤ −4),1100,0.03889667863454676,0.030667565249677745,51
Pre-construction (rel ≤ −4),1200,-0.005150294602965263,0.023805186817259832,51
Pre-construction (rel ≤ −4),1300,-0.045886969710691734,0.030468858224327437,51
Pre-construction (rel ≤ −4),1400,-0.10768635246384695,0.04353587060965459,51
