period,dbin,m,sd,n_dc
Post (rel ≥ +1),0,0.012267392157850119,1.8010932480385826,10
Post (rel ≥ +1),150,0.09332969413450919,1.3256005341489752,10
Post (rel ≥ +1),300,0.08985930047308066,1.1493867977219783,10
Post (rel ≥ +1),450,0.18001903820820522,1.057228032458066,10
Post (rel ≥ +1),600,0.1186889828323804,1.124362456371634,10
Post (rel ≥ +1),750,0.01985339410052729,0.7701321807640888,10
Post (rel ≥ +1),900,-0.046032274583676,0.6166520942574342,10
Post (rel ≥ +1),1050,-0.16970257260721652,0.8846412076928105,10
Post (rel ≥ +1),1200,-0.11310592033086526,0.9989097195888734,10
Post (rel ≥ +1),1350,-0.022099330811637306,0.850224583158933,10
Post (rel ≥ +1),1500,-0.21611826027690534,0.8359562077254288,10
Post (rel ≥ +1),1650,-0.23924856475739592,0.6320751089709393,10
Post (rel ≥ +1),1800,-0.34745469664920786,0.4652008881609419,10
Post (rel ≥ +1),1950,-0.3303149590415249,0.366956979359295,10
Post (rel ≥ +1),2100,-0.29390865361104745,0.4201396816000339,10
Post (rel ≥ +1),2250,-0.3862216868635648,0.40475070825996196,10
Post (rel ≥ +1),2400,-0.5618124921963984,0.6013349701188219,10
Post (rel ≥ +1),2550,-0.6030046465784461,0.5953788544896942,10
Post (rel ≥ +1),2700,-0.5488397484142021,0.5875071079479541,10
Post (rel ≥ +1),2850,-0.3982400078147776,0.4125158656847852,10
Post (rel ≥ +1),3000,-0.2768783835759563,0.3244507018746895,10
Post (rel ≥ +1),3150,-0.2000211086938467,0.3244305188960243,10
Post (rel ≥ +1),3300,-0.12451413486792284,0.20659772035388785,10
Post (rel ≥ +1),3450,0.019508893526199177,0.19062605841420222,10
Post (rel ≥ +1),3600,0.007825249934233216,0.16526517396784818,10
Post (rel ≥ +1),3750,-0.04197618225898347,0.13683806326002362,10
Post (rel ≥ +1),3900,-0.03673740576830319,0.13623487583916966,10
Post (rel ≥ +1),4050,0.041800596562709375,0.12546613374038848,10
Post (rel ≥ +1),4200,0.08649441358174341,0.22548765440280263,10
Post (rel ≥ +1),4350,0.020358061163304877,0.18730421331168728,10
Post (rel ≥ +1),4500,0.04048126814375978,0.13476108712569557,10
Post (rel ≥ +1),4650,0.1100721179912086,0.17857029267292154,10
Post (rel ≥ +1),4800,0.12914123798018867,0.216778663418334,10
Post (rel ≥ +1),4850,0.10048570272711878,0.26196658610420925,10
Pre (rel ≤ −4),0,-0.7125980033383462,2.041878563009699,7
Pre (rel ≤ −4),150,-0.6910573798738513,1.4142399012686433,7
Pre (rel ≤ −4),300,-1.1805008806272337,1.6255704377699531,7
Pre (rel ≤ −4),450,-1.1829181909092896,1.6258526490020235,7
Pre (rel ≤ −4),600,-1.0308434848907277,1.3930791153390358,7
Pre (rel ≤ −4),750,-0.7296426772110272,1.1498900195317672,7
Pre (rel ≤ −4),900,-0.44126180327833275,1.0363794237768207,7
Pre (rel ≤ −4),1050,-0.42614733401908295,1.0963086453228565,7
Pre (rel ≤ −4),1200,-0.18939369348569948,1.0477985258958018,7
Pre (rel ≤ −4),1350,0.050780680751655614,0.8858585598113016,7
Pre (rel ≤ −4),1500,-0.1830922751569977,0.578542106468038,7
Pre (rel ≤ −4),1650,-0.27561806877279676,0.5443397963217653,7
Pre (rel ≤ −4),1800,-0.4324433759049648,0.48493031544891746,7
Pre (rel ≤ −4),1950,-0.4833309443526147,0.4756425890990453,7
Pre (rel ≤ −4),2100,-0.6022343896302185,0.5503545818311147,7
Pre (rel ≤ −4),2250,-0.7765633830074402,0.6230776979830084,7
Pre (rel ≤ −4),2400,-1.002020749620187,0.6603246396885738,7
Pre (rel ≤ −4),2550,-0.9946940813372431,0.6903087808060087,7
Pre (rel ≤ −4),2700,-0.9388239751600587,0.6778206636485221,7
Pre (rel ≤ −4),2850,-0.7633696895186741,0.5800924587567513,7
Pre (rel ≤ −4),3000,-0.7155069651104379,0.3937402808743152,7
Pre (rel ≤ −4),3150,-0.5696799559358428,0.36156452346283224,7
Pre (rel ≤ −4),3300,-0.36295444974081065,0.29482432906574113,7
Pre (rel ≤ −4),3450,-0.06425521282379962,0.2222492086962858,7
Pre (rel ≤ −4),3600,-0.054419172744615704,0.15139601357536808,7
Pre (rel ≤ −4),3750,-0.041247776776552884,0.1101416462519772,7
Pre (rel ≤ −4),3900,-0.04639465534146785,0.1460464422828441,7
Pre (rel ≤ −4),4050,0.10392713298338761,0.16115233564182674,7
Pre (rel ≤ −4),4200,0.2951201718873686,0.2234148226661327,7
Pre (rel ≤ −4),4350,0.21538168087424722,0.23360528055717913,7
Pre (rel ≤ −4),4500,0.2777953978018421,0.1974782399793329,7
Pre (rel ≤ −4),4650,0.25634483337548947,0.23521834075365833,7
Pre (rel ≤ −4),4800,0.18820111353269703,0.29827253915677804,7
Pre (rel ≤ −4),4850,-0.012305093473199328,0.1514290254066875,7
