export_id,ring,raw_control_px,raw_treat_px,clean_control_px,drop_treat_px,additive_treat_px,ratio_raw,ratio_drop_mechanism,ratio_additive_mechanism
411,0_to_600,8663,2529,1659,0,2529,3.424110671936759,1.4959422903516681,0.6557312252964427
412,0_to_600,8667,2530,1486,0,2530,3.425691699604743,1.339945897204689,0.5873517786561265
648,0_to_600,4305,1255,2903,1109,1255,1.7015810276679841,2.617673579801623,1.1474308300395257
664,0_to_600,4316,1257,4247,0,1257,1.7059288537549406,3.829576194770063,1.6786561264822135
2949,0_to_600,4355,1255,3507,157,1255,1.7213438735177866,3.1623083859332732,1.3861660079051383
2950,0_to_600,4320,1253,4320,70,1253,1.7075098814229248,3.895401262398557,1.7075098814229248
2998,0_to_600,4325,1259,3476,0,1259,1.709486166007905,3.1343552750225427,1.373913043478261
3012,0_to_600,4324,1262,4324,74,1262,1.709090909090909,3.8990081154192966,1.709090909090909
3051,0_to_600,4304,1256,2539,35,1256,1.701185770750988,2.2894499549143372,1.0035573122529644
3052,0_to_600,4315,1259,2622,7,1259,1.7055335968379446,2.36429215509468,1.0363636363636364
411,0_to_300,8663,628,1659,0,628,13.68562401263823,5.266666666666667,2.6208530805687205
412,0_to_300,8667,633,1486,0,633,13.691943127962086,4.717460317460318,2.3475513428120065
648,0_to_300,4305,315,2903,315,315,6.800947867298579,9.215873015873015,4.58609794628752
664,0_to_300,4316,310,4247,0,310,6.818325434439179,13.482539682539683,6.709320695102686
2949,0_to_300,4355,314,3507,0,314,6.879936808846762,11.133333333333333,5.540284360189573
2950,0_to_300,4320,314,4320,0,314,6.8246445497630335,13.714285714285714,6.8246445497630335
2998,0_to_300,4325,316,3476,0,316,6.832543443917851,11.034920634920635,5.4913112164296995
3012,0_to_300,4324,315,4324,0,315,6.8309636650868875,13.726984126984126,6.8309636650868875
3051,0_to_300,4304,314,2539,0,314,6.799368088467615,8.06031746031746,4.011058451816746
3052,0_to_300,4315,317,2622,0,317,6.816745655608215,8.323809523809524,4.14218009478673
411,300_to_600,8663,1901,1659,0,1901,4.557075223566544,2.0894206549118386,0.8726985796948974
412,300_to_600,8667,1897,1486,0,1897,4.559179379274067,1.871536523929471,0.7816938453445555
648,300_to_600,4305,940,2903,794,940,2.2645975802209364,3.6561712846347607,1.5270910047343504
664,300_to_600,4316,947,4247,0,947,2.270384008416623,5.348866498740554,2.2340873224618623
2949,300_to_600,4355,941,3507,157,941,2.290899526564966,4.416876574307305,1.8448185165702262
2950,300_to_600,4320,939,4320,70,939,2.272488164124145,5.44080604534005,2.272488164124145
2998,300_to_600,4325,943,3476,0,943,2.275118358758548,4.3778337531486144,1.828511309836928
3012,300_to_600,4324,947,4324,74,947,2.2745923198316675,5.445843828715366,2.2745923198316675
3051,300_to_600,4304,942,2539,35,942,2.2640715412940557,3.197732997481108,1.3356128353498158
3052,300_to_600,4315,942,2622,7,942,2.2698579694897423,3.302267002518892,1.3792740662809049
