export_id,max_dist,n_px,n_in_600,year_operational
411,1509.9852140829587,15762,2529,2020
412,1509.4358878995324,15744,2530,2021
648,1506.5136363867794,7805,1255,2016
664,1505.4847956722074,7821,1257,2017
2039,1505.2035637564916,7822,1260,2008
2886,1509.0518719269896,15660,2525,2010
2899,1509.440485634654,7819,1253,2012
2949,1501.2011445947019,7852,1255,2019
2950,1502.930077360327,7816,1253,2020
2988,1508.190990469834,7835,1254,2009
2998,1504.6029892816812,7835,1259,2014
3009,1506.3565291799084,7833,1256,2012
3012,1507.834573243495,7832,1262,2016
3021,1511.7417782793473,15698,2520,2007
3051,1503.359482377786,7795,1256,2017
3052,1500.835473216737,7799,1259,2018
