dropped,estimate,se,p
411,0.28776440603934705,0.11710831137449074,0.02665883277548897
412,0.30441463221611775,0.12621149393463063,0.029136506264156745
648,0.37036941802026174,0.12069844909270452,0.007802483889440944
664,0.360275523120131,0.11998904461972655,0.008925900469460034
2039,0.34251360210127574,0.11903316323113161,0.011508531475584902
2793,0.34553147713271354,0.11766919679367555,0.010210376408587667
2886,0.3680715038196814,0.11766372840202101,0.006907996955332287
2899,0.34898925905285777,0.11691702504176106,0.009252241538790637
2949,0.2925126568381279,0.10621578415957225,0.01476846447630513
2950,0.3117198557490064,0.11378790459856493,0.015204452303942628
2988,0.34665967062148023,0.11761432615454923,0.00998549417555201
2998,0.35317453526247194,0.12048886008704036,0.010320558749585401
3009,0.3446699494211781,0.11654684994653962,0.009786104731568528
3012,0.338206002745173,0.11968247310072379,0.012774978353691605
3021,0.34084375834070274,0.11835575627512376,0.011453630388586721
3051,0.4022901358905792,0.1342862237210074,0.009050418157975974
3052,0.4020603012164171,0.13466210780701998,0.009237823625556498
